"EID","Tag","TagDate","TagLon","TagLat","TagCL","TagSex","CapDate","CapLon","CapLat","CapCL","CapSex","DAL","SizeDiff","MoltIncr","Molted","z","TagDepth","CapDepth","subarea","degreedays"
6075,44191,1982-09-15,-66.75,44.75,128,3,1983-11-17,-66.6166666666667,44.6333333333333,138,3,428,10,0.078125,1,76.2207260920932,27.0243868610095,125.417065323177,"38",3100.68468847005
6076,44199,1982-09-15,-66.75,44.75,125,3,1982-11-23,-66.6666666666667,44.7,125,3,69,0,0,0,61.6868279019221,27.0243868610095,96.3492689428348,"38",708.137103168377
6077,44211,1982-09-15,-66.75,44.75,149,3,1984-12-28,-66.5833333333333,44.7,150,2,835,1,0.00671140939597315,0,87.9588262349503,27.0243868610095,148.893265608891,"38",5553.39419144369
6078,44155,1982-09-15,-66.75,44.75,129,3,1982-11-20,-66.65,44.75,129,3,66,0,0,0,64.4177190785407,27.0243868610095,101.811051296072,"38",674.415764724377
6079,44165,1982-09-15,-66.75,44.75,124,3,1983-12-28,-66.5833333333333,44.6333333333333,135,2,469,11,0.0887096774193548,1,80.0523491313053,27.0243868610095,133.080311401601,"38",3333.73686086085
6080,44177,1982-09-15,-66.75,44.75,107,3,1985-06-29,-66.5,44.6166666666667,119,3,1018,12,0.11214953271028,1,116.233358273355,27.0243868610095,205.4423296857,"38",6811.45923138714
6081,44110,1982-09-14,-66.75,44.75,111,3,1982-12-07,-66.6166666666667,44.7333333333333,111,3,84,0,0,0,75.0526088112023,27.0243868610095,123.080830761395,"38",798.252875568429
6082,44119,1982-09-14,-66.75,44.75,135,3,1982-12-01,-66.6666666666667,44.7,135,3,78,0,0,0,61.6868279019221,27.0243868610095,96.3492689428348,"38",790.608914158048
6083,44059,1982-09-13,-66.75,44.75,130,3,1982-12-21,-66.6,44.7166666666667,130,3,99,0,0,0,79.9292803955543,27.0243868610095,132.834173930099,"38",871.643445402653
6084,44078,1982-09-13,-66.75,44.75,144,3,1983-05-23,-66.65,44.7,144,3,252,0,0,0,65.4683371693817,27.0243868610095,103.912287477754,"38",1758.49644262862
6085,44082,1982-09-13,-66.75,44.75,112,3,1983-06-01,-66.65,44.7,112,3,261,0,0,0,65.4683371693817,27.0243868610095,103.912287477754,"38",1805.64503484977
6086,43998,1982-09-10,-66.75,44.75,116,3,1982-09-14,-66.75,44.75,116,3,4,0,0,0,27.0243868610095,27.0243868610095,27.0243868610095,"38",63.8549210150622
6087,44031,1982-09-10,-66.75,44.7833333333333,109,3,1982-11-20,-66.6666666666667,44.8,109,3,71,0,0,0,71.8251312881614,46.2294013173462,97.4208612589766,"38",706.156183067306
6088,43955,1982-09-10,-66.75,44.75,145,3,1982-11-22,-66.6333333333333,44.75,145,3,73,0,0,0,69.4645747493067,27.0243868610095,111.904762637604,"38",712.311718001452
6089,43979,1982-09-10,-66.75,44.75,119,3,1982-11-23,-66.6666666666667,44.8166666666667,119,3,74,0,0,0,68.1729969147699,27.0243868610095,109.32160696853,"38",718.887059399249
6090,43979,1982-09-10,-66.75,44.75,119,3,1982-11-29,-66.6666666666667,44.7,119,3,80,0,0,0,61.6868279019221,27.0243868610095,96.3492689428348,"38",814.89672168726
6091,43995,1982-09-10,-66.75,44.75,126,3,1983-05-18,-66.65,44.7,137,3,250,11,0.0873015873015873,1,65.4683371693817,27.0243868610095,103.912287477754,"38",1764.1061361011
6092,43907,1982-09-08,-66.75,44.75,146,3,1983-04-27,-66.4166666666667,44.55,156,2,231,10,0.0684931506849315,1,114.535434459158,27.0243868610095,202.046482057306,"34",1698.80816365319
6093,43876,1982-09-07,-66.75,44.75,142,3,1982-11-17,-66.6333333333333,44.75,142,3,71,0,0,0,69.4645747493067,27.0243868610095,111.904762637604,"38",695.969532007391
6094,43888,1982-09-07,-66.75,44.7833333333333,158,3,1982-11-11,-66.65,44.7333333333333,158,3,65,0,0,0,70.7823206434994,46.2294013173462,95.3352399696526,"38",647.218769752997
6095,43845,1982-09-07,-66.75,44.75,124,3,1982-12-07,-66.6166666666667,44.7333333333333,124,3,91,0,0,0,75.0526088112023,27.0243868610095,123.080830761395,"38",865.406772098019
6096,43857,1982-09-07,-66.75,44.75,132,3,1982-11-30,-66.6333333333333,44.7333333333333,132,3,84,0,0,0,71.0901430672358,27.0243868610095,115.155899273462,"38",823.08289621432
6097,43862,1982-09-07,-66.75,44.75,115,3,1982-11-15,-66.6833333333333,44.8,115,3,69,0,0,0,58.3891548161513,27.0243868610095,89.7539227712932,"38",689.6109657273
6098,43818,1982-09-07,-66.75,44.75,106,3,1983-08-05,-66.6666666666667,44.7666666666667,106,3,332,0,0,0,55.9521487125918,27.0243868610095,84.8799105641741,"38",2065.70711411528
6099,43828,1982-09-07,-66.75,44.75,144,3,1982-11-16,-66.7,44.7333333333333,145,3,70,1,0.00694444444444444,0,55.5288917339298,27.0243868610095,84.0333966068502,"38",685.99826279825
6100,43831,1982-09-07,-66.75,44.75,105,3,1983-11-12,-66.5666666666667,44.65,119,2,431,14,0.133333333333333,1,95.9739777458681,27.0243868610095,164.923568630727,"38",2905.75270373007
6101,43837,1982-09-07,-66.75,44.75,132,3,1982-12-22,-66.5666666666667,44.6833333333333,132,3,106,0,0,0,93.3736818675312,27.0243868610095,159.722976874053,"38",858.796110727274
6102,43796,1982-09-02,-66.75,44.7833333333333,125,3,1982-12-21,-66.6666666666667,44.7,125,3,110,0,0,0,71.2893351300905,46.2294013173462,96.3492689428348,"38",1052.08085048823
6103,43736,1982-08-31,-66.75,44.75,137,3,1982-11-02,-66.7,44.7333333333333,137,3,63,0,0,0,55.5288917339298,27.0243868610095,84.0333966068502,"38",633.582105414957
6104,43747,1982-08-31,-66.75,44.7833333333333,138,3,1982-11-29,-66.6333333333333,44.7333333333333,138,3,90,0,0,0,80.6926502954042,46.2294013173462,115.155899273462,"38",814.225227093062
6105,43750,1982-08-31,-66.75,44.7833333333333,189,3,1984-04-04,-66.5166666666667,44.6666666666667,198,2,582,9,0.0476190476190476,1,116.637698057359,46.2294013173462,187.045994797372,"38",4066.3180485869
6106,43707,1982-08-31,-66.75,44.75,119,3,1982-11-30,-66.7166666666667,44.7833333333333,119,3,91,0,0,0,53.1881276399786,27.0243868610095,79.3518684189478,"38",874.003080074262
6107,43728,1982-08-31,-66.75,44.75,120,3,1982-12-21,-66.6666666666667,44.6833333333333,120,3,112,0,0,0,60.0470539748592,27.0243868610095,93.069721088709,"38",1079.42485319942
6108,43668,1982-08-27,-66.75,44.7833333333333,145,3,1982-11-17,-66.6833333333333,44.8166666666667,145,3,82,0,0,0,74.062442966608,46.2294013173462,101.89548461587,"38",805.635612410825
6109,43670,1982-08-27,-66.75,44.7833333333333,147,3,1983-06-17,-66.5166666666667,44.6,147,3,294,0,0,0,127.876483465611,46.2294013173462,209.523565613875,"38",2005.1663892901
